2024-07-05 11:39:08; INFO; Utility Plugin; 12252; 12652] dwBitLockerEnable = 1 ; m_b2023Project = 0 ; m_uiPCR7BindingStatus = 3
2024-07-05 11:39:08; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: After Two_WMIMethod_INT()
2024-07-05 11:39:08; INFO; Utility Plugin; 12252; 12652] Fail because bios does not support WMI ID 0x00060096

2024-07-05 11:39:08; INFO; Utility Plugin; 12252; 12652] NotifyBitLockerStatus() Finish
2024-07-05 11:39:11; INFO; Loopback Stream; 12252; 2924] CallLibrary Start
2024-07-05 11:39:11; INFO; Loopback Stream; 12252; 2924] CallLibrary End
2024-07-05 11:39:41; INFO; Loopback Stream; 12252; 23416] CallLibrary Start
2024-07-05 11:39:41; INFO; Loopback Stream; 12252; 23416] CallLibrary End
2024-07-05 11:40:11; INFO; Loopback Stream; 12252; 7800] CallLibrary Start
2024-07-05 11:40:11; INFO; Loopback Stream; 12252; 7800] CallLibrary End
2024-07-05 11:40:41; INFO; Loopback Stream; 12252; 24700] CallLibrary Start
2024-07-05 11:40:41; INFO; Loopback Stream; 12252; 24700] CallLibrary End
2024-07-05 11:41:11; INFO; Loopback Stream; 12252; 19372] CallLibrary Start
2024-07-05 11:41:11; INFO; Loopback Stream; 12252; 19372] CallLibrary End
2024-07-05 11:41:41; INFO; Loopback Stream; 12252; 3056] CallLibrary Start
2024-07-05 11:41:41; INFO; Loopback Stream; 12252; 3056] CallLibrary End
2024-07-05 11:41:50; INFO; User Session Manager; 12252; 12096] OnDeviceChange Start
2024-07-05 11:41:50; INFO; User Session Manager; 12252; 12096] OnDeviceChange End
2024-07-05 11:41:50; INFO; User Session Manager; 12252; 12096] OnDeviceChange Start
2024-07-05 11:41:50; INFO; User Session Manager; 12252; 12096] OnDeviceChange End
2024-07-05 11:41:50; INFO; User Session Manager; 12252; 12096] OnDeviceChange Start
2024-07-05 11:41:50; INFO; User Session Manager; 12252; 12096] OnDeviceChange End
2024-07-05 11:41:51; INFO; User Session Manager; 12252; 12096] OnDeviceChange Start
2024-07-05 11:41:51; INFO; User Session Manager; 12252; 12096] OnDeviceChange End
2024-07-05 11:42:11; INFO; Loopback Stream; 12252; 8840] CallLibrary Start
